DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE,YEAR,MONTH,DAY,DAY_OF_WEEK,Actual Production,Predicted Production,Forecast Error,Absolute Error,Percentage Error
2011-12-23,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2011,12,23,4,557.55,557.4956709567771,0.05432904322287868,0.05432904322287868,0.009744245937203602
2010-07-28,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,282.83396416666665,107.27180125,223.66899395833335,25.309939166666666,51.2617475,%,59.16497020833334,90.05665479166667,26.229217708333334,1857.2,268279.25,3258.54,production,OP,2010,7,28,2,1857.2,1845.0032933477335,12.196706652266585,12.196706652266585,0.6567255358747892
2008-07-24,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,,,,,,0.0,,,,injection,WI,2008,7,24,3,557.55,557.4454052631885,0.10459473681146392,0.10459473681146392,0.018759705284093608
2010-04-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,243.24158708333334,106.35666020833334,187.0216,0.0,44.26394895833333,%,56.219987083333336,90.42058041666667,23.106786666666668,2581.96,362655.22,2477.63,production,OP,2010,4,13,1,2581.96,2533.673641560429,48.286358439570904,48.286358439570904,1.8701435513939373
2010-09-20,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2010,9,20,0,557.55,557.495670956777,0.05432904322299237,0.05432904322299237,0.009744245937223993
2010-09-24,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,,,,,,0.0,,,,injection,WI,2010,9,24,4,557.55,557.4454052631885,0.10459473681146392,0.10459473681146392,0.018759705284093608
2011-12-16,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2011,12,16,4,557.55,557.4956709567771,0.05432904322287868,0.05432904322287868,0.009744245937203602
2014-07-09,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,32.22778666666667,19.983092708333334,100.0,%,32.22778666666667,91.27969520833334,3.217133958333333,188.9,28177.12,5007.6,production,OP,2014,7,9,2,188.9,186.29234201449978,2.607657985500225,2.607657985500225,1.3804436132875728
2015-01-18,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,70.05688,28.42451,30.28621,%,70.05688,65.27711,40.33924,819.66,119879.93,419.38,production,OP,2015,1,18,6,819.66,809.6166337698415,10.043366230158426,10.043366230158426,1.2253088146497848
2014-05-07,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,33.4637275,19.809178958333334,99.86493,%,33.4637275,90.65054708333334,3.8714164583333335,195.86,28575.91,5338.1,production,OP,2014,5,7,2,195.86,484.80903504293207,-288.94903504293205,288.94903504293205,147.5283544587624
2014-05-27,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,225.24135895833334,106.43117791666667,164.51579770833334,28.265261041666665,12.17781875,%,60.72556125,68.10650520833333,32.225879166666665,1063.17,157209.88,150.54,production,OP,2014,5,27,1,1063.17,1105.1565307189799,-41.98653071897979,41.98653071897979,3.949183170986746
2013-08-24,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2013,8,24,5,557.55,557.4956709567771,0.05432904322287868,0.05432904322287868,0.009744245937203602
2012-06-13,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,22.66667,,,,,,,,,0.0,,,,injection,WI,2012,6,13,2,557.55,557.4956709567771,0.05432904322287868,0.05432904322287868,0.009744245937203602
2016-03-29,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2016,3,29,1,557.55,557.4990441941151,0.050955805884882466,0.050955805884882466,0.009139235204893278
2016-07-10,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,265.92262958333333,100.33843645833333,238.398366875,23.980052083333334,100.0,%,27.52426270833333,89.153704375,1.9594822916666668,113.38,18753.12,3185.47,production,OP,2016,7,10,6,113.38,121.31732834415588,-7.937328344155887,7.937328344155887,7.000642392093743
2014-07-29,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,32.27009833333334,19.975315,100.0,%,32.27009833333334,91.05298645833334,3.3582485416666668,186.18,27795.64,5287.0,production,OP,2014,7,29,1,186.18,186.88994762806033,-0.7099476280603199,0.7099476280603199,0.38132325065008044
2008-11-09,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2008,11,9,6,557.55,557.495670956777,0.05432904322299237,0.05432904322299237,0.009744245937223993
2011-05-29,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2011,5,29,6,557.55,557.4983474872386,0.051652512761393155,0.051652512761393155,0.009264193841161
2014-04-30,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.97377770833333,106.64997020833333,155.86496145833334,21.512653958333335,12.30913875,%,44.10881625,32.54529375,15.403245833333333,230.51,33310.51,0.0,production,OP,2014,4,30,2,230.51,248.10089992047705,-17.590899920477057,17.590899920477057,7.631295787808363
